produto,Unnamed: 1,prediction
bolo bamboo limao 720g un 720 g,,"(('__label__pães,pão', '__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pao', '__label__arroz,arroz'), array([0.0330851 , 0.03200942, 0.01541725, 0.01145356, 0.00566563]))"
bolo bamboo tradicional 720g un 720 g,,"(('__label__pães,pão', '__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pao', '__label__arroz,arroz'), array([0.12819542, 0.06569825, 0.03749852, 0.02725128, 0.01222057]))"
bolo bamboo formigueiro 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pão', '__label__pães,pao', '__label__cães,osso'), array([0.03179937, 0.02973434, 0.0285648 , 0.00990051, 0.00715253]))"
bolo bamboo chocolate 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pão', '__label__bolos', '__label__chocolates,ovo'), array([0.13099715, 0.04678835, 0.02268049, 0.01812482, 0.01055509]))"
bolo bamboo mesclado 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pão', '__label__pães,pao', '__label__cães,osso'), array([0.03628676, 0.03372518, 0.02834383, 0.00992889, 0.00719428]))"
farinha de mandioca da roca amarela 1kg,,"(('__label__peixes,filé', '__label__grãos,milho', '__label__peixes,file', '__label__farináceos', '__label__cabelo,creme'), array([0.1383604 , 0.06891251, 0.06407687, 0.06224652, 0.02021247]))"
pd pao forma fatiado bokitus 400g,,"(('__label__pães,pão', '__label__pães,pao', '__label__pães,pães', '__label__vegetais', '__label__frios,mortadela'), array([0.21917519, 0.08510339, 0.02685212, 0.01757027, 0.01154321]))"
vela aib copo 100g citronela amarela,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__conveniências,cola', '__label__ovos,ovo'), array([9.98546720e-01, 8.42245005e-04, 7.61240226e-05, 2.88168631e-05,
       1.88130380e-05]))"
tempero sabor ami 300g.c/alho e sal,,"(('__label__temperos', '__label__sopas', '__label__aperitivos', '__label__lanches', '__label__achocolatados'), array([0.95813257, 0.00739187, 0.00522124, 0.00387539, 0.00311415]))"
kisabor pimenta comari 60g.vidro,,"(('__label__conservas,pimenta', '__label__sal,sal', '__label__jardinagem,semente', '__label__cozinha,moedor', '__label__chás,cha'), array([0.09281667, 0.03380082, 0.03132885, 0.02867187, 0.02479583]))"
sabonete phebo 90g.naturelle,,"(('__label__cabelo,pente', '__label__cabelo,kit', '__label__cozinha,kit', '__label__cozinha,porta', '__label__cozinha,tampa'), array([0.02734856, 0.01681999, 0.00845836, 0.00608117, 0.00585129]))"
acougue costela suina salgada kg.,,"(('__label__churrasco,carvão', '__label__vegetais', '__label__frios,salame', '__label__conservas,tomate', '__label__legumes,cebola'), array([0.00124864, 0.00107712, 0.00107447, 0.00098781, 0.00096875]))"
past valda extra forte lt 50g,,"(('__label__cafés,café', '__label__conveniências,cola', '__label__cafés,cafe', '__label__chocolates,chocolate', '__label__cabelo,gel'), array([0.06515473, 0.00919192, 0.00792388, 0.00786443, 0.00697213]))"
