produto,Unnamed: 1,prediction
g prednisona 05mg c/20 cp germed,,"(('__label__farmácia', '__label__higiene,fralda', '__label__bebê,fralda', '__label__chocolates,chocolate', '__label__pães,pão'), array([0.03280821, 0.03206227, 0.01967636, 0.01521325, 0.01428189]))"
lanzopept 30mg c/14 caps,,"(('__label__suplementos', '__label__farmácia', '__label__vitaminas,vitamina', '__label__conveniências,fita', '__label__produtos'), array([0.06725965, 0.02028042, 0.00807833, 0.00344056, 0.00337221]))"
unhas posticas macrilan up303a media cacau 24un,,"(('__label__corpo,lixa', '__label__rosto,pincel', '__label__corpo,kit', '__label__corpo,creme', '__label__rosto,máscara'), array([0.01269119, 0.01020604, 0.0053741 , 0.00486427, 0.00467061]))"
varal tanabi 10 metros,,"(('__label__utensílios', '__label__farmácia', '__label__conveniências,fita', '__label__papelaria,papel', '__label__papelaria,pasta'), array([9.94751334e-01, 9.52486414e-04, 8.20468005e-04, 2.06879980e-04,
       1.26898842e-04]))"
g enan de noret+ val estr 1ml pre euro,,"(('__label__farmácia', '__label__pães,pão', '__label__jardinagem,semente', '__label__doces', '__label__produtos'), array([0.02161974, 0.01838092, 0.00867285, 0.00816752, 0.00693176]))"
"moringa polida marlux 2,5 lts",,"(('__label__cozinha,frigideira', '__label__cozinha,panela', '__label__cozinha,caçarola', '__label__cozinha,assadeira', '__label__cozinha,cacarola'), array([0.11686722, 0.07432754, 0.06565949, 0.05079475, 0.04665703]))"
blue zinco max c/30 caps p.e bergamim,,"(('__label__suplementos', '__label__farmácia', '__label__vitaminas,vitamina', '__label__higiene,papel', '__label__conveniências,fita'), array([0.29500237, 0.03868501, 0.01565235, 0.00382566, 0.00281663]))"
canecao extra luxo marlux nº 14,,"(('__label__cozinha,frigideira', '__label__cozinha,caçarola', '__label__cozinha,cacarola', '__label__cozinha,panela', '__label__cozinha,canecão'), array([0.2118564 , 0.17217684, 0.07438571, 0.05231096, 0.04886722]))"
canecao especial polida n12,,"(('__label__cozinha,caçarola', '__label__cozinha,panela', '__label__cozinha,cacarola', '__label__cozinha,frigideira', '__label__cozinha,forma'), array([0.04984016, 0.04270091, 0.04095932, 0.02999703, 0.02408572]))"
canecao extra cabo madeira n 12,,"(('__label__cozinha,faca', '__label__cozinha,caçarola', '__label__papelaria,tesoura', '__label__cabelo,pente', '__label__cozinha,frigideira'), array([0.1208566 , 0.07840976, 0.07604223, 0.07088166, 0.0545264 ]))"
canecao extra cabo madeira n 16,,"(('__label__cozinha,caçarola', '__label__cozinha,frigideira', '__label__cozinha,cacarola', '__label__papelaria,tesoura', '__label__cozinha,canecão'), array([0.16490236, 0.10774944, 0.07475781, 0.06704929, 0.06679144]))"
cacarola conica lixada c/ alca n 18,,"(('__label__cozinha,frigideira', '__label__cozinha,caçarola', '__label__cozinha,panela', '__label__cozinha,assadeira', '__label__cozinha,cacarola'), array([0.06025606, 0.04717398, 0.04419464, 0.02921276, 0.02734188]))"
cacarola conica lixada c/ alca n 20,,"(('__label__cozinha,frigideira', '__label__cozinha,caçarola', '__label__cozinha,panela', '__label__cozinha,assadeira', '__label__cozinha,cacarola'), array([0.06258495, 0.05130973, 0.04691181, 0.02651941, 0.02294019]))"
cacarola conica lixada c/ alca n 22,,"(('__label__cozinha,frigideira', '__label__cozinha,caçarola', '__label__cozinha,panela', '__label__cozinha,assadeira', '__label__cozinha,cacarola'), array([0.12111118, 0.08524393, 0.07594585, 0.04626949, 0.03785934]))"
cacarola especial c alca marlux n20,,"(('__label__cozinha,forma', '__label__cozinha,frigideira', '__label__cozinha,caçarola', '__label__cozinha,panela', '__label__cozinha,cacarola'), array([0.12587792, 0.10458272, 0.10300909, 0.08539241, 0.07391699]))"
assadeira redonda alta n22,,"(('__label__cozinha,assadeira', '__label__cozinha,forma', '__label__cozinha,frigideira', '__label__cozinha,caçarola', '__label__cozinha,cacarola'), array([0.80906904, 0.13527292, 0.01722531, 0.00848776, 0.00600241]))"
cacarola marlux c alca n22,,"(('__label__cozinha,frigideira', '__label__cozinha,panela', '__label__cozinha,caçarola', '__label__cozinha,cacarola', '__label__cozinha,assadeira'), array([0.21435745, 0.11383529, 0.09830492, 0.07237983, 0.03673035]))"
fervedor trad marlux n16,,"(('__label__cozinha,frigideira', '__label__cozinha,panela', '__label__cozinha,caçarola', '__label__cozinha,cacarola', '__label__cozinha,assadeira'), array([0.12050077, 0.06478009, 0.054454  , 0.05028424, 0.04666648]))"
frigideira anti aderente marlux 20,,"(('__label__cozinha,frigideira', '__label__cozinha,caçarola', '__label__cozinha,panela', '__label__cozinha,assadeira', '__label__cozinha,cacarola'), array([0.04021903, 0.02924054, 0.02805958, 0.02414068, 0.02150111]))"
frigideira anti aderente marlux 24,,"(('__label__cozinha,frigideira', '__label__cozinha,panela', '__label__cozinha,caçarola', '__label__cozinha,assadeira', '__label__cozinha,cacarola'), array([0.07632242, 0.04944915, 0.04502343, 0.03800365, 0.03277621]))"
fervedor trad marlux n14,,"(('__label__cozinha,frigideira', '__label__cozinha,assadeira', '__label__cozinha,panela', '__label__cozinha,cacarola', '__label__cozinha,caçarola'), array([0.07442395, 0.03990966, 0.03950154, 0.0338155 , 0.03337757]))"
g cl ambroxol 6mg ad 120ml geolab,,"(('__label__farmácia', '__label__chás,chá', '__label__corpo,cera', '__label__corpo,sabonete', '__label__corpo,gel'), array([0.00286939, 0.00184221, 0.00174451, 0.00158986, 0.00155123]))"
g br ipratropio 20ml germed,,"(('__label__farmácia', '__label__chás,chá', '__label__chás,cha', '__label__jardinagem,semente', '__label__vitaminas,vitamina'), array([0.20877771, 0.056473  , 0.02228855, 0.00971289, 0.00871513]))"
inalador uppy soniclear,,"(('__label__farmácia', '__label__conveniências,fita', '__label__suplementos', '__label__vitaminas,vitamina', '__label__utensílios'), array([0.48151949, 0.00934786, 0.009204  , 0.00759721, 0.0059202 ]))"
pente fino piolho com cabo,,"(('__label__cabelo,pente', '__label__cabelo,escova', '__label__higiene', '__label__cozinha,faca', '__label__cabelo,kit'), array([0.94877565, 0.02480115, 0.00369461, 0.00294783, 0.00173109]))"
teste coronavirus(covid-19),,"(('__label__conveniências,fita', '__label__farmácia', '__label__conveniências,cola', '__label__jardinagem,flor', '__label__jardinagem,semente'), array([0.02360658, 0.02332098, 0.01648511, 0.01171082, 0.01146653]))"
masc avenca colageno antissinais 10g,,"(('__label__chás,chá', '__label__chás,cha', '__label__jardinagem,semente', '__label__conveniências,cola', '__label__suplementos'), array([0.01480444, 0.00904191, 0.00493212, 0.00444594, 0.00409923]))"
g finasterida 5mg c/30 cp germed,,"(('__label__farmácia', '__label__higiene,fralda', '__label__bebê,fralda', '__label__doces', '__label__chocolates,bombom'), array([0.04433789, 0.01948376, 0.01417124, 0.01384073, 0.01299965]))"
g finasterida 1mg c/30 germed,,"(('__label__farmácia', '__label__higiene,fralda', '__label__bebê,fralda', '__label__chocolates,chocolate', '__label__doces'), array([0.06770623, 0.03485783, 0.02473943, 0.01941171, 0.01928099]))"
sal grosso c/ervas chef clay 500g,,"(('__label__sal,sal', '__label__laticínios,manteiga', '__label__cafés,café', '__label__cabelo,máscara', '__label__cafés,cafe'), array([0.94076669, 0.00866226, 0.00457112, 0.00268346, 0.00155165]))"
sh.gota dourada biotina homem 430ml,,"(('__label__cozinha,caneca', '__label__cabelo,kit', '__label__cozinha,taça', '__label__cabelo,shampoo', '__label__cozinha,copo'), array([0.0227945 , 0.00824109, 0.00737864, 0.00717225, 0.00709896]))"
vela estrela rosa naº 5 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__papelaria,caneta', '__label__utensílios'), array([0.91252905, 0.01847548, 0.00590451, 0.00310868, 0.00164954]))"
cesta bambu redonda 40cm,,"(('__label__cozinha,assadeira', '__label__cozinha,espatula', '__label__cozinha,forma', '__label__cozinha,kit', '__label__cozinha,colher'), array([0.06943383, 0.03030578, 0.02629692, 0.02163979, 0.02142793]))"
papel higienico f.dupla ta bem neutro lv12 pg 11un,,"(('__label__higiene,papel', '__label__bebê,fralda', '__label__cozinha,copo', '__label__cabelo,kit', '__label__papelaria,papel'), array([0.06564631, 0.02148372, 0.01149235, 0.00903094, 0.00717692]))"
faca cozinha western blanc 7´´,,"(('__label__cozinha,faca', '__label__vinhos,vinho', '__label__cozinha,kit', '__label__cozinha,porta', '__label__cozinha,conjunto'), array([0.17851351, 0.02444546, 0.02110876, 0.01891094, 0.0123685 ]))"
tabua oval c/ canaleta madlar,,"(('__label__cabelo,escova', '__label__cozinha,assadeira', '__label__cabelo,pente', '__label__utensílios', '__label__cozinha,espatula'), array([0.02002326, 0.01697217, 0.013139  , 0.0128029 , 0.00788723]))"
taca versalhes imperial pe baixo 28x21c,,"(('__label__utensílios', '__label__cabelo,kit', '__label__cozinha,taça', '__label__cozinha,porta', '__label__cozinha,kit'), array([0.0585126 , 0.00928377, 0.00894446, 0.0074437 , 0.00703832]))"
dalinho morango 50g,,"(('__label__chás,chá', '__label__suplementos', '__label__chocolates,chocolate', '__label__ingredientes', '__label__chás,cha'), array([0.31621596, 0.1432122 , 0.11706268, 0.07396111, 0.05846642]))"
lava louca em po qualita 1kg,,"(('__label__leites', '__label__roupas,sabão', '__label__sucos,refresco', '__label__frutas', '__label__casa'), array([0.0946799 , 0.0732203 , 0.04646267, 0.04257371, 0.03937334]))"
catanhas caju qualita 200g,,"(('__label__sucos,polpa', '__label__chocolates,chocolate', '__label__laticínios,manteiga', '__label__legumes,cogumelo', '__label__grãos,quinoa'), array([0.22304423, 0.20093532, 0.07775506, 0.07404919, 0.01947411]))"
vela big n 8,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__cães,coleira', '__label__cozinha,faca', '__label__papelaria,caneta'), array([9.74283218e-01, 1.91249661e-02, 6.71937305e-04, 3.78934346e-04,
       3.61777260e-04]))"
vela big n 6,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__cozinha,forma', '__label__bebê,chupeta', '__label__cozinha,faca'), array([0.95016021, 0.02991709, 0.00172339, 0.0017193 , 0.0010409 ]))"
vela big n 9,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__cozinha,forma', '__label__cães,coleira'), array([9.71416056e-01, 1.74792875e-02, 1.61119213e-03, 1.19041337e-03,
       8.27954093e-04]))"
chipa maricota 1kg,,"(('__label__arroz,arroz', '__label__feijão,feijão', '__label__peixes,peixe', '__label__vegetais', '__label__grãos,milho'), array([0.0477879 , 0.03369696, 0.01936369, 0.01545095, 0.01178783]))"
coleira couro forrada pet mania 24cm 13mm,,"(('__label__cães,coleira', '__label__cães,guia', '__label__cães,peitoral', '__label__cães,cama', '__label__cães,osso'), array([0.76642454, 0.0600107 , 0.04967383, 0.01887382, 0.00781945]))"
zirvit kids 100ml susp,,"(('__label__corpo,deo', '__label__corpo,óleo', '__label__farmácia', '__label__corpo,repelente', '__label__papelaria,tinta'), array([0.03604099, 0.02858313, 0.02655259, 0.02528735, 0.01705893]))"
pyloripac 56s medley,,"(('__label__conveniências,fita', '__label__cozinha,porta', '__label__churrasco,carvão', '__label__jardinagem,semente', '__label__produtos'), array([0.02207551, 0.01595403, 0.01318768, 0.01159078, 0.01093889]))"
seringa inj 5ml ag30x7 un,,"(('__label__utensílios', '__label__farmácia', '__label__conveniências,fita', '__label__cozinha,caneca', '__label__cozinha,porta'), array([0.11710631, 0.07464448, 0.01364136, 0.00841206, 0.00712244]))"
caf cmin con origens,,"(('__label__conveniências,cola', '__label__cafés,café', '__label__produtos', '__label__churrasco,carvão', '__label__papelaria,cola'), array([0.00545447, 0.00418011, 0.00407472, 0.00326606, 0.00317286]))"
caf cdia con origens,,"(('__label__cafés,café', '__label__conveniências,cola', '__label__produtos', '__label__churrasco,carvão', '__label__papelaria,cola'), array([0.0032032 , 0.00316284, 0.00249281, 0.00202184, 0.00200637]))"
caf mog conf origens,,"(('__label__cafés,café', '__label__conveniências,cola', '__label__produtos', '__label__chocolates,bombom', '__label__papelaria,papel'), array([0.00524457, 0.00395709, 0.00265814, 0.00253289, 0.00244349]))"
camisola l list v505,,"(('__label__roupas,amaciante', '__label__destilados,cachaça', '__label__destilados,whisky', '__label__cozinha,pote', '__label__cozinha,porta'), array([0.05837404, 0.03868157, 0.03710862, 0.03367412, 0.03025033]))"
pij ml list v504 mar,,"(('__label__cozinha,caneca', '__label__cozinha,garrafa', '__label__corpo,deo', '__label__destilados,licor', '__label__cozinha,tigela'), array([0.10928706, 0.05216552, 0.04373793, 0.03694009, 0.03653041]))"
kit arte seducao 3 palito duas pontas + 3 mini lixa parda,,"(('__label__cabelo,kit', '__label__cabelo,escova', '__label__cozinha,conjunto', '__label__cabelo,pente', '__label__cozinha,kit'), array([0.05586518, 0.03509662, 0.02795365, 0.02369481, 0.02247747]))"
veda porta tanabi 80cm,,"(('__label__utensílios', '__label__conveniências,fita', '__label__farmácia', '__label__cozinha,porta', '__label__cozinha,forma'), array([0.15370731, 0.01836621, 0.01753215, 0.00842116, 0.00545449]))"
palmito anga pr picadao 1.800g padaria,,"(('__label__vinhos,""vinho', '__label__churrasco,carvão', '__label__jardinagem,semente', '__label__massas', '__label__cabelo,pente'), array([0.00136119, 0.00125231, 0.00115071, 0.00114939, 0.00111934]))"
colonia meu amorzinho 120ml rosa,,"(('__label__corpo,deo', '__label__destilados,licor', '__label__corpo,perfume', '__label__papelaria,tinta', '__label__corpo,colônia'), array([0.02424074, 0.01001104, 0.00925381, 0.00920405, 0.00892368]))"
luva carvalho confortex reforcada verde,,"(('__label__jardinagem,vaso', '__label__conveniências,fita', '__label__conservas,azeitona', '__label__papelaria,papel', '__label__papelaria,tinta'), array([0.08525786, 0.0274109 , 0.02027528, 0.01944296, 0.01877286]))"
acessorios de celular 29.90,,"(('__label__utensílios', '__label__jardinagem,semente', '__label__cozinha,abridor', '__label__rosto,paleta', '__label__cozinha,coador'), array([0.0703063 , 0.01689547, 0.01658035, 0.01586886, 0.01519064]))"
copo americano un,,"(('__label__cozinha,porta', '__label__cozinha,kit', '__label__cozinha,faca', '__label__cozinha,conjunto', '__label__cozinha,jogo'), array([0.07879247, 0.06401677, 0.05693673, 0.05644328, 0.05222555]))"
churrasqueira ferro redonda c/grelha,,"(('__label__cozinha,assadeira', '__label__cozinha,forma', '__label__cozinha,espatula', '__label__bebê,chupeta', '__label__cães,osso'), array([0.04489986, 0.01946547, 0.00632061, 0.00605275, 0.00601127]))"
vitamina c suplemento alimentar vila ervas 30 caps*,,"(('__label__suplementos', '__label__vitaminas,vitamina', '__label__chás,chá', '__label__chás,cha', '__label__farmácia'), array([0.25272295, 0.06470971, 0.00920938, 0.00727997, 0.00709686]))"
oleo essencial composto 15ml equilibrium,,"(('__label__corpo,óleo', '__label__farmácia', '__label__cabelo,ampola', '__label__cabelo,óleo', '__label__corpo,oleo'), array([0.01152771, 0.00657391, 0.00588215, 0.0057558 , 0.00467802]))"
cebola fatiada green,,"(('__label__conservas,azeitona', '__label__conservas,pimenta', '__label__verduras,salada', '__label__chás,chá', '__label__legumes,pimentão'), array([0.13177511, 0.0654115 , 0.02511214, 0.0195604 , 0.01944094]))"
molho pimenta sabor para tucupi 250ml,,"(('__label__gatos,ração', '__label__cabelo,creme', '__label__corpo,creme', '__label__corpo,óleo', '__label__alimento'), array([0.05046168, 0.04162274, 0.03412471, 0.02298754, 0.02164303]))"
sorvete artesanal sr.paleto tapioc 150ml,,"(('__label__cozinha,copo', '__label__corpo,desodorante', '__label__cervejas,cerveja', '__label__destilados,licor', '__label__refrigerantes,refrigerante'), array([0.009289  , 0.00773033, 0.00715811, 0.00697734, 0.00524252]))"
choc am 137 139,,"(('__label__chocolates,bombom', '__label__ingredientes', '__label__doces', '__label__chocolates,ovo', '__label__farmácia'), array([0.01715622, 0.00907357, 0.00870947, 0.0083009 , 0.00825683]))"
choc am class 139 13,,"(('__label__chocolates,bombom', '__label__cozinha,porta', '__label__farmácia', '__label__doces', '__label__chocolates,ovo'), array([0.00604337, 0.00468003, 0.00457738, 0.00374391, 0.00303614]))"
choc bo 137 137,,"(('__label__chocolates,bombom', '__label__vinhos,""vinho', '__label__chocolates,ovo', '__label__jardinagem,semente', '__label__destilados,licor'), array([0.0225572 , 0.01318175, 0.00752522, 0.00670099, 0.0065988 ]))"
choc cher 104g 104,,"(('__label__chocolates,bombom', '__label__chocolates,chocolate', '__label__doces', '__label__vinhos,""vinho', '__label__chocolates,ovo'), array([0.00714559, 0.00413712, 0.00366012, 0.00353347, 0.00338242]))"
choc t 139 139 00,,"(('__label__utensílios', '__label__farmácia', '__label__cozinha,porta', '__label__chocolates,bombom', '__label__cozinha,""pote'), array([0.02805617, 0.00571785, 0.00408677, 0.00399541, 0.0036625 ]))"
rabanete 300g 300g,,"(('__label__conservas,palmito', '__label__corpo,cera', '__label__cabelo,máscara', '__label__legumes,tomate', '__label__legumes,vagem'), array([0.40559366, 0.06667464, 0.06026761, 0.04792185, 0.03807585]))"
mix celebration gw 2,,"(('__label__cabelo,kit', '__label__cães,osso', '__label__bebê,kit', '__label__conveniências,cola', '__label__roupas,amaciante'), array([0.01265064, 0.00908566, 0.00664197, 0.00641741, 0.00516746]))"
bola jaragua un lunar,,"(('__label__pet', '__label__cães,osso', '__label__verduras,alface', '__label__cães,coleira', '__label__conveniências,fita'), array([0.06902741, 0.01991926, 0.01922937, 0.01325707, 0.012867  ]))"
bacia plasmarc cod.166,,"(('__label__utensílios', '__label__conveniências,fita', '__label__farmácia', '__label__cozinha,porta', '__label__jardinagem,vaso'), array([0.02935995, 0.00936387, 0.00524354, 0.00477658, 0.00396022]))"
garrafa plast.ice 750ml 34197,,"(('__label__vinhos,vinho', '__label__destilados,cachaça', '__label__vinhos,vita', '__label__vinhos,vho', '__label__destilados,whisky'), array([0.85788333, 0.03258209, 0.02774612, 0.01633966, 0.01258503]))"
conj.talher simonag.inf.c/2 incrive,,"(('__label__conveniências,fita', '__label__conveniências,cola', '__label__churrasco,carvão', '__label__cozinha,porta', '__label__jardinagem,flor'), array([0.12748407, 0.05495813, 0.05044771, 0.04128763, 0.03260835]))"
semente de chia cha cha 100g,,"(('__label__grãos,semente', '__label__sucos,polpa', '__label__jardinagem,semente', '__label__chás,chá', '__label__peixes,filé'), array([0.42093652, 0.03072748, 0.01415029, 0.01390727, 0.01204938]))"
cha cha 30g cavalinha,,"(('__label__chás,chá', '__label__chás,cha', '__label__conservas,pimenta', '__label__temperos', '__label__jardinagem,semente'), array([0.69202012, 0.1724865 , 0.00501678, 0.00231124, 0.0015506 ]))"
cha cha 30g pata de vaca,,"(('__label__chás,chá', '__label__chás,cha', '__label__temperos', '__label__jardinagem,semente', '__label__grãos,semente'), array([0.44586894, 0.09546861, 0.01484885, 0.00764676, 0.00643904]))"
d.nena 10g corante sortido,,"(('__label__ingredientes', '__label__conveniências,cola', '__label__chás,chá', '__label__jardinagem,semente', '__label__chás,cha'), array([0.07012632, 0.01831009, 0.01779931, 0.01463495, 0.01349871]))"
camisa lampiao western 500v,,"(('__label__cozinha,faca', '__label__cozinha,escumadeira', '__label__cozinha,tabua', '__label__churrasco,espeto', '__label__cozinha,porta'), array([0.00589155, 0.00582864, 0.00582258, 0.00540641, 0.00525716]))"
pote org.top line cod 681-8,,"(('__label__cozinha,kit', '__label__cozinha,conjunto', '__label__farmácia', '__label__cabelo,kit', '__label__cozinha,jogo'), array([0.06365573, 0.02970809, 0.02592345, 0.02383142, 0.01400542]))"
resistencia corona luster 127v,,"(('__label__jardinagem,vaso', '__label__papelaria,estojo', '__label__papelaria,mochila', '__label__cabelo,pente', '__label__papelaria,pincel'), array([0.02469755, 0.01252419, 0.01019965, 0.0086693 , 0.00790729]))"
girador n 1 c/5,,"(('__label__utensílios', '__label__cozinha,assadeira', '__label__papelaria,estojo', '__label__papelaria,pincel', '__label__cozinha,caçarola'), array([0.08364363, 0.04961438, 0.02867475, 0.02852277, 0.0284331 ]))"
iogurte yogo milk 900ml abacaxi,,"(('__label__sucos,suco', '__label__refrigerantes,refrigerante', '__label__destilados,licor', '__label__sucos,xarope', '__label__sucos,refresco'), array([0.28016225, 0.04982864, 0.03268697, 0.02828755, 0.01925087]))"
balas simonetto 600g icyfresh cereja,,"(('__label__legumes,tomate', '__label__doces', '__label__suplementos', '__label__frutas,uva', '__label__vegetais'), array([0.09154338, 0.02931359, 0.0163637 , 0.01516342, 0.01367209]))"
palmito luana 330g pupunha inteiro,,"(('__label__conservas,palmito', '__label__conservas,""palmito', '__label__legumes,tomate', '__label__biscoitos', '__label__queijos,queijo'), array([0.82799643, 0.04742461, 0.01224189, 0.01168347, 0.00452644]))"
tortilha crocante dahora 200g,,"(('__label__chocolates,chocolate', '__label__legumes,cogumelo', '__label__laticínios,manteiga', '__label__grãos,linhaça', '__label__grãos,quinoa'), array([0.02679117, 0.02630121, 0.02037456, 0.01797331, 0.01772905]))"
ratoeira alto giro pequena,,"(('__label__utensílios', '__label__cozinha,porta', '__label__jardinagem,vaso', '__label__cozinha,pote', '__label__cozinha,""pote'), array([0.16282709, 0.01702036, 0.01553443, 0.01552615, 0.01517866]))"
forma pao queijo 6un. alto giro,,"(('__label__cozinha,forma', '__label__pães,pão', '__label__utensílios', '__label__pães', '__label__pães,pao'), array([0.09785553, 0.06896799, 0.0582864 , 0.03495381, 0.01543062]))"
engate flexivel alto giro luconi 40cm,,"(('__label__utensílios', '__label__conveniências,fita', '__label__cozinha,""pote', '__label__cozinha,pote', '__label__jardinagem,vaso'), array([0.23383918, 0.00452337, 0.00330439, 0.0024652 , 0.00235501]))"
touca p banho nero,,"(('__label__corpo,esponja', '__label__cabelo,pente', '__label__corpo,bucha', '__label__corpo,touca', '__label__rosto,pincel'), array([0.1031315 , 0.04042048, 0.02470512, 0.02432977, 0.02216974]))"
vinagre toscano 250ml fruta maca organica,,"(('__label__sucos,polpa', '__label__refrigerantes,refrigerante', '__label__sucos,suco', '__label__sucos,kombucha', '__label__sucos,refresco'), array([0.01914551, 0.01680987, 0.01407172, 0.00640853, 0.00535066]))"
fertilizante vithal 1l plantas e flores,,"(('__label__isotônicos', '__label__detergentes', '__label__desodorizadores', '__label__achocolatados', '__label__cabelo,shampoo'), array([0.27614492, 0.1449209 , 0.09385068, 0.06690761, 0.03113525]))"
assadeira marcolar un retang n2,,"(('__label__cozinha,forma', '__label__cozinha,assadeira', '__label__cozinha,frigideira', '__label__bebê,chupeta', '__label__cozinha,caçarola'), array([0.09673627, 0.0646625 , 0.0316983 , 0.02455614, 0.01955967]))"
bandeja belmount mult c/tpa 10l,,"(('__label__utensílios', '__label__conveniências,fita', '__label__legumes,cebola', '__label__legumes,quiabo', '__label__legumes,berinjela'), array([0.28823248, 0.00377411, 0.00207488, 0.00177505, 0.00156874]))"
bandeja belmount mult 5l,,"(('__label__utensílios', '__label__conservas,""palmito', '__label__conservas,pepino', '__label__legumes,cebola', '__label__cervejas,cerv'), array([0.18670441, 0.00907288, 0.00401599, 0.00370067, 0.00328673]))"
pao de queijo catupiry 300g calab c/catupiry,,"(('__label__pães', '__label__pães,pão', '__label__confeitaria,mistura', '__label__pães,pao', '__label__biscoitos'), array([0.12467813, 0.07793585, 0.05023329, 0.03958393, 0.01612433]))"
emb galv g 32 mb mini torta baixa ballerine,,"(('__label__cozinha,forma', '__label__doces', '__label__pães,pão', '__label__farmácia', '__label__utensílios'), array([0.63465947, 0.01904092, 0.01713041, 0.01102029, 0.01075162]))"
prended.roupa lopata mad.c/24,,"(('__label__conveniências,fita', '__label__conveniências,cola', '__label__churrasco,carvão', '__label__cozinha,porta', '__label__jardinagem,flor'), array([0.12748407, 0.05495813, 0.05044771, 0.04128763, 0.03260835]))"
prended.roupa lopata plast.c/12,,"(('__label__conveniências,fita', '__label__conveniências,cola', '__label__churrasco,carvão', '__label__cozinha,porta', '__label__jardinagem,flor'), array([0.12748407, 0.05495813, 0.05044771, 0.04128763, 0.03260835]))"
revista dragon ball,,"(('__label__utensílios', '__label__conveniências,fita', '__label__farmácia', '__label__papelaria,papel', '__label__higiene,papel'), array([0.19700238, 0.03903843, 0.01640562, 0.00881939, 0.00756427]))"
trincha pratic 3/4,,"(('__label__cozinha,""pote', '__label__conveniências,fita', '__label__cozinha,porta', '__label__cozinha,cuscuzeira', '__label__cozinha,tampa'), array([0.00684663, 0.00681541, 0.00443605, 0.00437634, 0.00429358]))"
trincha pratic 1,,"(('__label__cozinha,frigideira', '__label__cozinha,cacarola', '__label__cozinha,panela', '__label__cozinha,assadeira', '__label__cozinha,porta'), array([0.0167639 , 0.01392893, 0.01303697, 0.01289418, 0.01249045]))"
targeta/trinco pratic n 3,,"(('__label__cozinha,forma', '__label__cozinha,assadeira', '__label__conveniências,vela', '__label__cozinha,kit', '__label__cozinha,faca'), array([0.09342775, 0.06922335, 0.06284051, 0.04108938, 0.03088188]))"
rolha de cortica pratic c/2,,"(('__label__doces', '__label__cozinha,abridor', '__label__cozinha,""panela', '__label__cozinha,escorredor', '__label__cozinha,coador'), array([0.20172453, 0.01766096, 0.01030893, 0.00900188, 0.00818338]))"
trena pratic 19mmx5m,,"(('__label__cozinha,""pote', '__label__conveniências,fita', '__label__cozinha,porta', '__label__cozinha,cuscuzeira', '__label__cozinha,saladeira'), array([0.01637787, 0.01209823, 0.01202763, 0.00854464, 0.00758785]))"
lixa p/pe lizon plast.estamp.440,,"(('__label__cabelo,pente', '__label__conveniências,cola', '__label__rosto,cílios', '__label__rosto,pincel', '__label__rosto,gloss'), array([0.00539035, 0.00353779, 0.00305005, 0.00300495, 0.00282356]))"
cotovelo pratic lr 1/2,,"(('__label__utensílios', '__label__cozinha,""pote', '__label__conveniências,fita', '__label__cozinha,torneira', '__label__cozinha,porta'), array([0.08744124, 0.00703914, 0.00702766, 0.00345913, 0.00325604]))"
plafon pratic pvc,,"(('__label__conveniências,fita', '__label__conveniências,cola', '__label__cozinha,""pote', '__label__cozinha,tampa', '__label__cozinha,torneira'), array([0.05209596, 0.03724766, 0.02818605, 0.01866948, 0.01693234]))"
tee mangueira liso pratic 3/4,,"(('__label__utensílios', '__label__cozinha,""pote', '__label__cozinha,tigela', '__label__cozinha,caneca', '__label__cozinha,copo'), array([0.62377322, 0.00567413, 0.0046734 , 0.00401546, 0.00382128]))"
tee mangueira liso pratic 1/2,,"(('__label__utensílios', '__label__cozinha,""pote', '__label__cozinha,copo', '__label__cozinha,tigela', '__label__cozinha,caneca'), array([0.74138677, 0.00499967, 0.00389682, 0.00382641, 0.00354655]))"
coleira para cao pratic n 3,,"(('__label__cães,coleira', '__label__cães,guia', '__label__cães,peitoral', '__label__cães,corrente', '__label__cozinha,forma'), array([0.13910291, 0.04563995, 0.04474642, 0.03225265, 0.02278317]))"
torneira pratic alavanca pia 3/4,,"(('__label__utensílios', '__label__cozinha,""pote', '__label__cozinha,escorredor', '__label__cozinha,torneira', '__label__cozinha,tampa'), array([0.08656142, 0.00446212, 0.0025831 , 0.00249077, 0.00248384]))"
corrente p/cao pratic n 3,,"(('__label__cães,coleira', '__label__cozinha,assadeira', '__label__cozinha,forma', '__label__utensílios', '__label__cozinha,kit'), array([0.03078681, 0.01956511, 0.01748271, 0.01185966, 0.01160232]))"
corrente p/cao pratic n 5,,"(('__label__cozinha,assadeira', '__label__cozinha,caçarola', '__label__cães,coleira', '__label__utensílios', '__label__cozinha,frigideira'), array([0.01986252, 0.01473142, 0.01270207, 0.01129014, 0.01003314]))"
esp af spier secret rose 750ml,,"(('__label__vinhos,vinho', '__label__vinhos,espumante', '__label__vinhos,vita', '__label__vinhos,vho', '__label__destilados,whisky'), array([0.6364013 , 0.07567177, 0.01814115, 0.01592951, 0.01195807]))"
